"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"
64	0	62	3	2	1	49	23	60	18	2.61	1.16
54	0	72	7	1	0	67	16	48	23	2.88	1.15
33	33	201.7	8	11	0	195	69	113	94	4.2	1.31
26	26	132.7	9	10	0	168	62	83	98	6.65	1.73
43	0	60.7	4	3	0	87	12	31	41	6.08	1.63
32	32	208.7	17	10	0	199	47	165	82	3.54	1.18
6	4	25.7	1	2	0	34	8	19	13	4.56	1.64
22	18	104.7	6	9	0	104	41	87	69	5.93	1.39
29	29	171	14	8	0	185	65	127	90	4.74	1.46
3	3	12.7	0	2	0	17	13	3	12	8.53	2.37
67	0	69.3	5	4	41	58	8	77	18	2.34	0.95
12	2	23	0	4	0	37	15	13	21	8.22	2.26
54	5	95.3	4	4	2	97	36	79	36	3.4	1.4
6	0	5	0	0	0	3	2	3	3	5.4	1
6	0	10.3	0	1	0	11	2	4	5	4.35	1.26
5	5	22.3	1	0	0	29	9	14	12	4.84	1.7
32	29	166	10	8	0	181	75	147	81	4.39	1.54
13	6	42.3	1	1	0	47	15	21	19	4.04	1.47
4	0	4.7	0	0	0	2	6	7	1	1.93	1.71
6	2	12.3	0	1	0	23	5	11	16	11.68	2.27
7	7	34.3	4	2	0	41	10	15	22	5.77	1.49
27	27	173.7	10	11	0	146	59	166	55	2.85	1.18
7	0	9.3	0	0	0	9	4	5	5	4.82	1.39
32	32	200.7	13	11	0	209	64	110	83	3.72	1.36
72	0	72.7	3	2	3	80	17	52	35	4.33	1.34
19	17	94.7	6	9	0	112	42	51	66	6.27	1.63
40	0	52.7	1	2	0	56	14	38	35	5.98	1.33
50	0	45.7	2	1	28	29	27	38	23	4.53	1.23
41	0	41.7	3	3	7	34	22	42	16	3.46	1.34
30	30	159.7	7	12	0	182	55	119	77	4.34	1.48
34	34	194	10	7	0	167	105	180	91	4.22	1.4
73	0	76.3	4	4	2	67	23	86	30	3.54	1.18
26	26	151	12	4	0	183	39	74	74	4.41	1.47
19	8	56.3	3	5	0	45	14	42	27	4.31	1.05
33	33	204	14	14	0	233	55	158	103	4.54	1.41
3	1	4	0	1	0	11	2	1	9	20.25	3.25
2	0	0.7	0	0	0	2	2	0	1	13.5	6
26	25	148.7	7	7	1	180	35	81	85	5.15	1.45
67	0	64.7	2	5	0	52	39	56	32	4.45	1.41
25	24	135.7	8	5	0	170	48	58	76	5.04	1.61
5	1	14	0	0	0	9	4	12	3	1.93	0.93
41	0	38.7	2	0	0	41	24	46	26	6.05	1.68
12	12	65	3	6	0	67	29	58	40	5.54	1.48
47	0	46.3	6	5	15	46	28	56	20	3.88	1.6
77	0	73.7	4	8	9	61	18	71	23	2.81	1.07
55	0	55.3	5	1	1	44	24	63	24	3.9	1.23
1	0	2.7	0	1	0	8	2	1	9	30.38	3.75
32	0	37.3	1	4	0	45	9	13	18	4.34	1.45
71	0	71.7	3	2	1	57	31	70	21	2.64	1.23
5	4	27	1	1	0	17	11	21	8	2.67	1.04
